VCD info: dumpfile dump.vcd opened for output.
clk=0 rst=0 Instruction=xxxxxxxx PC=xxxxxxxx r1=xxxxxxxx r2=xxxxxxxx r3=xxxxxxxx r4=xxxxxxxx r5=xxxxxxxx r6=xxxxxxxx f1=xxxxxxxx f2=xxxxxxxx f3=xxxxxxxx f4=xxxxxxxx f5=xxxxxxxx r29=xxxxxxxx f30=xxxxxxxx r31=xxxxxxxx
clk=1 rst=0 Instruction=00000026 PC=00000000 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=0 Instruction=00000026 PC=00000000 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=0 Instruction=00000026 PC=00000000 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00000026 PC=00000000 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=00842026 PC=00000004 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00842026 PC=00000004 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=00a52826 PC=00000008 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00a52826 PC=00000008 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=00c63026 PC=0000000c r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00c63026 PC=0000000c r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=20060024 PC=00000010 r1=00000000 r2=00000000 r3=00000000 r4=00000000 r5=00000000 r6=00000000 f1=00000000 f2=00000000 f3=00000000 f4=00000000 f5=00000000 r29=00000000 f30=00000000 r31=00000000
